state_death,year,total_killed,killed_black,perc_killed_black,killed_caucasian,perc_killed_caucasian
AK,2000,4,,,,
AK,2001,6,,,1.0,17.0
AK,2002,9,,,,
AK,2003,3,,,1.0,33.0
AK,2004,3,,,,
AK,2005,1,,,,
AK,2006,3,,,2.0,67.0
AK,2007,3,,,,
AK,2008,8,,,2.0,25.0
AK,2009,3,,,1.0,33.0
AK,2010,6,1.0,17.0,2.0,33.0
AK,2011,2,,,1.0,50.0
AK,2012,7,1.0,14.0,2.0,29.0
AK,2013,4,,,2.0,50.0
AK,2014,4,1.0,25.0,2.0,50.0
AK,2015,6,,,1.0,17.0
AK,2016,10,,,4.0,40.0
AK,2017,12,2.0,17.0,3.0,25.0
AK,2018,8,1.0,12.0,2.0,25.0
AK,2019,8,1.0,12.0,3.0,38.0
AK,2020,7,,,4.0,57.0
AL,2000,11,4.0,36.0,3.0,27.0
AL,2001,12,2.0,17.0,,
AL,2002,15,2.0,13.0,4.0,27.0
AL,2003,24,,,3.0,12.0
AL,2004,22,4.0,18.0,1.0,5.0
AL,2005,24,5.0,21.0,1.0,4.0
AL,2006,21,3.0,14.0,1.0,5.0
AL,2007,25,6.0,24.0,5.0,20.0
AL,2008,38,9.0,24.0,5.0,13.0
AL,2009,36,5.0,14.0,11.0,31.0
AL,2010,40,5.0,12.0,11.0,28.0
AL,2011,22,2.0,9.0,11.0,50.0
AL,2012,42,13.0,31.0,14.0,33.0
AL,2013,51,21.0,41.0,19.0,37.0
AL,2014,33,12.0,36.0,15.0,45.0
AL,2015,39,15.0,38.0,16.0,41.0
AL,2016,38,9.0,24.0,25.0,66.0
AL,2017,43,16.0,37.0,22.0,51.0
AL,2018,25,9.0,36.0,13.0,52.0
AL,2019,37,12.0,32.0,15.0,41.0
AL,2020,29,8.0,28.0,12.0,41.0
AR,2000,7,1.0,14.0,1.0,14.0
AR,2001,11,,,1.0,9.0
AR,2002,14,,,1.0,7.0
AR,2003,11,1.0,9.0,1.0,9.0
AR,2004,11,1.0,9.0,1.0,9.0
AR,2005,9,,,2.0,22.0
AR,2006,18,,,4.0,22.0
AR,2007,16,1.0,6.0,2.0,12.0
AR,2008,12,1.0,8.0,5.0,42.0
AR,2009,22,1.0,5.0,10.0,45.0
AR,2010,20,4.0,20.0,7.0,35.0
AR,2011,15,4.0,27.0,6.0,40.0
AR,2012,20,6.0,30.0,11.0,55.0
AR,2013,20,6.0,30.0,12.0,60.0
AR,2014,12,3.0,25.0,7.0,58.0
AR,2015,11,2.0,18.0,5.0,45.0
AR,2016,30,9.0,30.0,19.0,63.0
AR,2017,23,8.0,35.0,10.0,43.0
AR,2018,26,7.0,27.0,15.0,58.0
AR,2019,28,6.0,21.0,12.0,43.0
AR,2020,17,3.0,18.0,9.0,53.0
AZ,2000,16,,,7.0,44.0
AZ,2001,31,,,8.0,26.0
AZ,2002,20,1.0,5.0,5.0,25.0
AZ,2003,19,,,,
AZ,2004,42,,,4.0,10.0
AZ,2005,35,3.0,9.0,3.0,9.0
AZ,2006,35,3.0,9.0,3.0,9.0
AZ,2007,25,1.0,4.0,7.0,28.0
AZ,2008,23,,,6.0,26.0
AZ,2009,24,1.0,4.0,7.0,29.0
AZ,2010,29,1.0,3.0,10.0,34.0
AZ,2011,34,,,12.0,35.0
AZ,2012,43,1.0,2.0,18.0,42.0
AZ,2013,71,6.0,8.0,28.0,39.0
AZ,2014,57,5.0,9.0,22.0,39.0
AZ,2015,45,1.0,2.0,27.0,60.0
AZ,2016,64,5.0,8.0,30.0,47.0
AZ,2017,61,7.0,11.0,24.0,39.0
AZ,2018,74,6.0,8.0,26.0,35.0
AZ,2019,45,4.0,9.0,12.0,27.0
AZ,2020,27,1.0,4.0,10.0,37.0
CA,2000,161,20.0,12.0,17.0,11.0
CA,2001,184,19.0,10.0,19.0,10.0
CA,2002,199,27.0,14.0,22.0,11.0
CA,2003,229,28.0,12.0,31.0,14.0
CA,2004,204,24.0,12.0,26.0,13.0
CA,2005,245,28.0,11.0,32.0,13.0
CA,2006,230,38.0,17.0,34.0,15.0
CA,2007,210,30.0,14.0,34.0,16.0
CA,2008,206,30.0,15.0,41.0,20.0
CA,2009,212,35.0,17.0,38.0,18.0
CA,2010,208,25.0,12.0,49.0,24.0
CA,2011,250,42.0,17.0,63.0,25.0
CA,2012,238,32.0,13.0,76.0,32.0
CA,2013,281,44.0,16.0,86.0,31.0
CA,2014,239,38.0,16.0,69.0,29.0
CA,2015,268,43.0,16.0,84.0,31.0
CA,2016,208,33.0,16.0,74.0,36.0
CA,2017,234,31.0,13.0,63.0,27.0
CA,2018,205,27.0,13.0,46.0,22.0
CA,2019,218,30.0,14.0,49.0,22.0
CA,2020,103,5.0,5.0,24.0,23.0
CO,2000,17,2.0,12.0,4.0,24.0
CO,2001,22,1.0,5.0,4.0,18.0
CO,2002,18,2.0,11.0,1.0,6.0
CO,2003,31,3.0,10.0,4.0,13.0
CO,2004,22,,,2.0,9.0
CO,2005,21,1.0,5.0,6.0,29.0
CO,2006,25,2.0,8.0,5.0,20.0
CO,2007,19,,,6.0,32.0
CO,2008,14,1.0,7.0,4.0,29.0
CO,2009,21,,,5.0,24.0
CO,2010,25,1.0,4.0,11.0,44.0
CO,2011,28,4.0,14.0,9.0,32.0
CO,2012,30,2.0,7.0,13.0,43.0
CO,2013,28,1.0,4.0,16.0,57.0
CO,2014,26,1.0,4.0,12.0,46.0
CO,2015,30,5.0,17.0,12.0,40.0
CO,2016,36,2.0,6.0,23.0,64.0
CO,2017,46,3.0,7.0,23.0,50.0
CO,2018,64,5.0,8.0,27.0,42.0
CO,2019,62,7.0,11.0,22.0,35.0
CO,2020,31,4.0,13.0,9.0,29.0
CT,2000,1,,,,
CT,2001,3,,,3.0,100.0
CT,2002,3,2.0,67.0,1.0,33.0
CT,2003,3,1.0,33.0,1.0,33.0
CT,2004,8,2.0,25.0,4.0,50.0
CT,2005,6,3.0,50.0,2.0,33.0
CT,2006,6,1.0,17.0,2.0,33.0
CT,2007,2,,,2.0,100.0
CT,2008,6,2.0,33.0,3.0,50.0
CT,2009,8,2.0,25.0,5.0,62.0
CT,2010,5,,,2.0,40.0
CT,2011,4,1.0,25.0,1.0,25.0
CT,2012,6,1.0,17.0,2.0,33.0
CT,2013,14,3.0,21.0,7.0,50.0
CT,2014,5,2.0,40.0,,
CT,2015,5,1.0,20.0,2.0,40.0
